Company Name, Fund 
MARLOWE,IFSL Marlborough UK Micro-Cap Growth (Class P) Accumulation Fund Analysis
DISCOVERIE GROUP,IFSL Marlborough UK Micro-Cap Growth (Class P) Accumulation Fund Analysis
SMART METERING SYSTEMS,IFSL Marlborough UK Micro-Cap Growth (Class P) Accumulation Fund Analysis
THG,Jupiter UK Smaller Companies (Class I) Accumulation Fund Analysis
OSB GROUP,Jupiter UK Smaller Companies (Class I) Accumulation Fund Analysis
BOOHOO GROUP,Jupiter UK Smaller Companies (Class I) Accumulation Fund Analysis
GAMMA COMMUNICATIONS,Jupiter UK Smaller Companies (Class I) Accumulation Fund Analysis
Merian Chrysalis Investment Company Limited Chrysalis Investment Company Ltd Ord,Jupiter UK Smaller Companies (Class I) Accumulation Fund Analysis
S4 CAPITAL,Jupiter UK Smaller Companies (Class I) Accumulation Fund Analysis
FUTURE,Jupiter UK Smaller Companies (Class I) Accumulation Fund Analysis
RWS HLDGS,Jupiter UK Smaller Companies (Class I) Accumulation Fund Analysis
ASCENTIAL,Jupiter UK Smaller Companies (Class I) Accumulation Fund Analysis
SMART METERING SYSTEMS,Jupiter UK Smaller Companies (Class I) Accumulation Fund Analysis
ALPHA FINL MKTS CONSULTING,Jupiter UK Smaller Companies Equity (Class I) Accumulation Fund Analysis
K3 CAPITAL GROUP,Jupiter UK Smaller Companies Equity (Class I) Accumulation Fund Analysis
TOTAL BASE PRINCIPAL CASH,Jupiter UK Smaller Companies Equity (Class I) Accumulation Fund Analysis
ALPHA FX GROUP,Jupiter UK Smaller Companies Equity (Class I) Accumulation Fund Analysis
STHREE,Jupiter UK Smaller Companies Equity (Class I) Accumulation Fund Analysis
SOMERO ENTERPRISE INC,Jupiter UK Smaller Companies Equity (Class I) Accumulation Fund Analysis
WATKIN JONES,Jupiter UK Smaller Companies Equity (Class I) Accumulation Fund Analysis
OSB GROUP,Jupiter UK Smaller Companies Equity (Class I) Accumulation Fund Analysis
GRESHAM TECHNOLOGIES,Jupiter UK Smaller Companies Equity (Class I) Accumulation Fund Analysis
KELLER GROUP,Jupiter UK Smaller Companies Equity (Class I) Accumulation Fund Analysis
INSPECS GROUP,Royal London UK Smaller Companies (M Class) Accumulation Fund Analysis
KIN AND CARTA,Royal London UK Smaller Companies (M Class) Accumulation Fund Analysis
TREATT,Royal London UK Smaller Companies (M Class) Accumulation Fund Analysis
ERGOMED,Royal London UK Smaller Companies (M Class) Accumulation Fund Analysis
ALPHA FINL MKTS CONSULTING,Royal London UK Smaller Companies (M Class) Accumulation Fund Analysis
GB GROUP,Royal London UK Smaller Companies (M Class) Accumulation Fund Analysis
DISCOVERIE GROUP,Royal London UK Smaller Companies (M Class) Accumulation Fund Analysis
GAMMA COMMUNICATIONS,Royal London UK Smaller Companies (M Class) Accumulation Fund Analysis
TEAM17 GROUP,Royal London UK Smaller Companies (M Class) Accumulation Fund Analysis
OXFORD INSTRUMENTS,Royal London UK Smaller Companies (M Class) Accumulation Fund Analysis
AUGEAN PLC ORDINARY 10P,Schroder UK Dynamic Smaller Companies (Z) Accumulation Fund Analysis
RENEW HLDGS,Schroder UK Dynamic Smaller Companies (Z) Accumulation Fund Analysis
NCC GROUP,Schroder UK Dynamic Smaller Companies (Z) Accumulation Fund Analysis
MIDWICH GROUP,Schroder UK Dynamic Smaller Companies (Z) Accumulation Fund Analysis
SANDERSON DESIGN GROUP,Schroder UK Dynamic Smaller Companies (Z) Accumulation Fund Analysis
VP,Schroder UK Dynamic Smaller Companies (Z) Accumulation Fund Analysis
ALPHA FINL MKTS CONSULTING,Schroder UK Dynamic Smaller Companies (Z) Accumulation Fund Analysis
TREATT,Schroder UK Dynamic Smaller Companies (Z) Accumulation Fund Analysis
QUIXANT,Schroder UK Dynamic Smaller Companies (Z) Accumulation Fund Analysis
MARSHALL MOTOR HLDGS,Schroder UK Dynamic Smaller Companies (Z) Accumulation Fund Analysis
TREMOR INTL LTD,Schroder UK Smaller Companies (Class Z) Accumulation Fund Analysis
APTITUDE SOFTWARE GROUP,Schroder UK Smaller Companies (Class Z) Accumulation Fund Analysis
NCC GROUP,Schroder UK Smaller Companies (Class Z) Accumulation Fund Analysis
M J GLEESON,Schroder UK Smaller Companies (Class Z) Accumulation Fund Analysis
VITEC GROUP PLC (THE),Schroder UK Smaller Companies (Class Z) Accumulation Fund Analysis
KISTOS,Schroder UK Smaller Companies (Class Z) Accumulation Fund Analysis
GLOBALDATA,Schroder UK Smaller Companies (Class Z) Accumulation Fund Analysis
COHORT,Schroder UK Smaller Companies (Class Z) Accumulation Fund Analysis
RM,Schroder UK Smaller Companies (Class Z) Accumulation Fund Analysis
XAAR,Schroder UK Smaller Companies (Class Z) Accumulation Fund Analysis
OSB GROUP,TB Amati UK Smaller Companies (B) Accumulation Fund Analysis
ACCESSO TECHNOLOGY GRP,TB Amati UK Smaller Companies (B) Accumulation Fund Analysis
VISTRY GROUP,TB Amati UK Smaller Companies (B) Accumulation Fund Analysis
INSPECS GROUP,TB Amati UK Smaller Companies (B) Accumulation Fund Analysis
ATALAYA MINING,TB Amati UK Smaller Companies (B) Accumulation Fund Analysis
RENALYTIX,TB Amati UK Smaller Companies (B) Accumulation Fund Analysis
DFS FURNITURE,TB Amati UK Smaller Companies (B) Accumulation Fund Analysis
ELECTROCOMPONENTS,TB Amati UK Smaller Companies (B) Accumulation Fund Analysis
POLAR CAPITAL HLDGS,TB Amati UK Smaller Companies (B) Accumulation Fund Analysis
GAMMA COMMUNICATIONS,TB Amati UK Smaller Companies (B) Accumulation Fund Analysis
1SPATIAL,Threadneedle UK Smaller Companies (Class Z) Accumulation Fund Analysis
MICROLISE GROUP,Threadneedle UK Smaller Companies (Class Z) Accumulation Fund Analysis
FUTURE,Threadneedle UK Smaller Companies (Class Z) Accumulation Fund Analysis
BLUE PRISM GROUP,Threadneedle UK Smaller Companies (Class Z) Accumulation Fund Analysis
KNIGHTS GROUP HLDGS,Threadneedle UK Smaller Companies (Class Z) Accumulation Fund Analysis
WATCHES OF SWITZERLAND GROUP,Threadneedle UK Smaller Companies (Class Z) Accumulation Fund Analysis
MARLOWE,Threadneedle UK Smaller Companies (Class Z) Accumulation Fund Analysis
IQGEO GROUP,Threadneedle UK Smaller Companies (Class Z) Accumulation Fund Analysis
VICTORIA,Threadneedle UK Smaller Companies (Class Z) Accumulation Fund Analysis
OXFORD INSTRUMENTS,Threadneedle UK Smaller Companies (Class Z) Accumulation Fund Analysis
VENTURE LIFE GROUP,TM Stonehage Fleming AIM Class B Income Fund Analysis
EAGLE EYE SOLUTIONS LTD,TM Stonehage Fleming AIM Class B Income Fund Analysis
EKF DIAGNOSTICS HOLDINGS,TM Stonehage Fleming AIM Class B Income Fund Analysis
TOTALLY,TM Stonehage Fleming AIM Class B Income Fund Analysis
YOURGENE HEALTH,TM Stonehage Fleming AIM Class B Income Fund Analysis
BEXIMCO PHARMACEUTICALS,TM Stonehage Fleming AIM Class B Income Fund Analysis
NETCALL,TM Stonehage Fleming AIM Class B Income Fund Analysis
BANGO,TM Stonehage Fleming AIM Class B Income Fund Analysis
INDEPENDENT OIL & GAS,TM Stonehage Fleming AIM Class B Income Fund Analysis
TRISTEL,TM Stonehage Fleming AIM Class B Income Fund Analysis
VITEC GROUP PLC (THE),TM Tellworth UK Smaller Companies (Class I) Accumulation Fund Analysis
HARWORTH GROUP,TM Tellworth UK Smaller Companies (Class I) Accumulation Fund Analysis
WATKIN JONES,TM Tellworth UK Smaller Companies (Class I) Accumulation Fund Analysis
TYMAN,TM Tellworth UK Smaller Companies (Class I) Accumulation Fund Analysis
VOLUTION GROUP,TM Tellworth UK Smaller Companies (Class I) Accumulation Fund Analysis
WINCANTON,TM Tellworth UK Smaller Companies (Class I) Accumulation Fund Analysis
INSPECS GROUP,TM Tellworth UK Smaller Companies (Class I) Accumulation Fund Analysis
IG DESIGN GROUP,TM Tellworth UK Smaller Companies (Class I) Accumulation Fund Analysis
TT ELECTRONICS,TM Tellworth UK Smaller Companies (Class I) Accumulation Fund Analysis
GYM GROUP,TM Tellworth UK Smaller Companies (Class I) Accumulation Fund Analysis
SOMERO ENTERPRISE INC,Unicorn UK Smaller Companies (Class B) Income Fund Analysis
GOODWIN,Unicorn UK Smaller Companies (Class B) Income Fund Analysis
SEVERFIELD,Unicorn UK Smaller Companies (Class B) Income Fund Analysis
ALPHA FX GROUP,Unicorn UK Smaller Companies (Class B) Income Fund Analysis
FULHAM SHORE PLC(THE),Unicorn UK Smaller Companies (Class B) Income Fund Analysis
WARPAINT LONDON,Unicorn UK Smaller Companies (Class B) Income Fund Analysis
TORTILLA MEXICAN GRILL,Unicorn UK Smaller Companies (Class B) Income Fund Analysis
CROPPER(JAMES),Unicorn UK Smaller Companies (Class B) Income Fund Analysis
MICROLISE GROUP,Unicorn UK Smaller Companies (Class B) Income Fund Analysis
ALUMASC GROUP,Unicorn UK Smaller Companies (Class B) Income Fund Analysis
DRAX GROUP,VT Teviot UK Smaller Companies Accumulation Fund Analysis
